video_id,comment_text,likes,published_at,reply_count
2ZD7VbRrymY,LIKE AND SUBSCRIBE IF YOU THINK THE KIDS COOKED THEM😂,7599,2025-09-27T18:27:52Z,34
2ZD7VbRrymY,​​chaoticnoodlerantschannel 4.0 this was a year ago,18,2025-09-28T07:57:20Z,0
2ZD7VbRrymY,What's the channel ?,7,2025-09-28T13:34:48Z,0
2ZD7VbRrymY,Hello,3,2025-09-29T19:53:15Z,0
2ZD7VbRrymY,"He ain’t just young he too short but to be really honest, he might be taller than me😂😂😂",4,2025-09-30T04:54:31Z,0
2ZD7VbRrymY,Think i agree with em,2,2025-09-30T20:27:25Z,0
2ZD7VbRrymY,the clips are from Channel 4.0,4,2025-10-01T02:22:12Z,0
2ZD7VbRrymY,LOL FR,0,2025-10-01T07:15:50Z,0
2ZD7VbRrymY,What is the video name?,0,2025-10-01T18:09:40Z,0
2ZD7VbRrymY,Pfp is nice,0,2025-10-03T17:15:23Z,0
2ZD7VbRrymY,love demon slayer too,0,2025-10-04T00:44:24Z,0
2ZD7VbRrymY,​@carolinebrown-y8w3g I'm talking about rengoku not demon slayer,0,2025-10-04T01:44:11Z,0
2ZD7VbRrymY,Can you give us link,0,2025-10-09T07:35:53Z,0
2ZD7VbRrymY,Are they on TikTok 😂😂,0,2025-10-15T15:49:14Z,0
2ZD7VbRrymY,I MADE A COMMENT CUZ I READ YOUR DESC AND I FOUND THE CREATORS,0,2025-10-17T14:04:36Z,0
2ZD7VbRrymY,I love ur video,1,2025-10-18T18:31:55Z,0
2ZD7VbRrymY,there called channel 4.0 or search minor issues,0,2025-10-27T12:53:25Z,0
2ZD7VbRrymY,GG,2,2025-10-28T20:45:43Z,0
2ZD7VbRrymY,6.7k likes,1,2025-11-12T21:21:36Z,0
2ZD7VbRrymY,I like your pfp,1,2025-11-15T15:12:07Z,0
2ZD7VbRrymY,Cooked by little timmys,1,2025-11-22T21:08:55Z,0
2ZD7VbRrymY,"Bro, these kids are the masters at roasting",1,2025-11-30T23:00:36Z,0
2ZD7VbRrymY,Fr,0,2025-12-08T01:54:18Z,0
2ZD7VbRrymY,KalogeraSisterEditsss hi,0,2025-12-09T12:50:14Z,0
2ZD7VbRrymY,Where can I find these videos,0,2025-12-14T01:29:13Z,0
2ZD7VbRrymY,Yes,0,2025-12-21T12:05:09Z,0
2ZD7VbRrymY,Ye you give em fish and chips Brighton boy has got me on the fuckin gloor,1,2026-01-13T14:51:42Z,0
2ZD7VbRrymY,Number 6 got me doing the my mom is kinda homeless meme,0,2026-01-13T06:16:50Z,0
2ZD7VbRrymY,*U dont give girls flowers u give them *fish n chips is diabolical,0,2026-01-12T17:32:59Z,0
2ZD7VbRrymY,Why do you think you’re the biggest,0,2026-01-11T22:24:04Z,0
2ZD7VbRrymY,What makes you the biggest 😧,0,2026-01-11T22:22:35Z,0
2ZD7VbRrymY,😂😂😂😂😂😂😂😂,0,2026-01-11T17:49:33Z,0
2ZD7VbRrymY,Yes I do was insane,0,2026-01-11T06:31:05Z,0
2ZD7VbRrymY,Cap so cap😂😂😂😂 3:30,1,2026-01-11T01:35:42Z,0
2ZD7VbRrymY,LouisAyy needs to react to this 😂😂,0,2026-01-10T03:54:33Z,0
2ZD7VbRrymY,firework,0,2026-01-10T01:04:37Z,0
2ZD7VbRrymY,Bro i like it😂,0,2026-01-09T13:03:49Z,0
2ZD7VbRrymY,Clock em Elias and Harley😋😋,0,2026-01-09T12:38:51Z,0
2ZD7VbRrymY,"I have a classmate who is like-diabolical at roasts-no seriously-once he told me,”You’re so fat that when god said ‘let there be light’ he asked you to move out of the way”I don’t think me or the class ever recovered from that-heck I’m surprised the police wasn’t involved…",0,2026-01-09T09:23:44Z,0
2ZD7VbRrymY,Pennywise would NOT survive these kids💀,0,2026-01-08T10:03:30Z,0
2ZD7VbRrymY,honesty is the best policy😏,0,2026-01-08T00:02:26Z,0
2ZD7VbRrymY,“What is under that MONSTROSITY under that d rag” caught me off gaurdd😂😂😂😂,0,2026-01-07T22:11:45Z,0
2ZD7VbRrymY,Show name?,0,2026-01-07T05:03:45Z,0
2ZD7VbRrymY,Ooooo,0,2026-01-07T01:58:19Z,0
2ZD7VbRrymY,"When i was a kid
I was this
What i am now
Is a kid",1,2026-01-06T20:00:41Z,0
2ZD7VbRrymY,THE KIDS COOKED,0,2026-01-06T15:08:32Z,0
2ZD7VbRrymY,She sure is the biggest,0,2026-01-06T02:44:27Z,0
2ZD7VbRrymY,What video is this?,0,2026-01-05T14:36:23Z,0
2ZD7VbRrymY,Harley kinda fine tho,0,2026-01-05T12:20:44Z,0
2ZD7VbRrymY,People who think the black kid is Harry Potter,0,2026-01-04T22:47:29Z,0
2ZD7VbRrymY,i love these kids they're so funny,0,2026-01-04T21:24:08Z,0
2ZD7VbRrymY,The accents make it even better,0,2026-01-04T16:26:29Z,0
2ZD7VbRrymY,The biggest belly😭✌️,0,2026-01-04T02:06:54Z,0
2ZD7VbRrymY,I REMEMBER WATCHING THAT VID ITS HILARIOUS,0,2026-01-04T01:49:19Z,0
2ZD7VbRrymY,bro cooked,0,2026-01-03T20:21:00Z,0
2ZD7VbRrymY,Number 5 looks like a btec aitch,1,2026-01-03T19:21:45Z,0
2ZD7VbRrymY,British kids think there so tuff with there trash roast. Put an American kid out there and we will see,0,2026-01-03T14:10:05Z,0
2ZD7VbRrymY,You’re not the baddest😂,0,2026-01-03T07:06:15Z,0
2ZD7VbRrymY,Lol,0,2026-01-03T00:51:09Z,0
2ZD7VbRrymY,Yeah you give them fish and chips is fuckass crazy,0,2026-01-02T08:14:25Z,0
2ZD7VbRrymY,Yo he's just like me het school,0,2026-01-02T06:26:58Z,0
2ZD7VbRrymY,Am I the only one who see kendrick,0,2026-01-02T00:00:33Z,0
2ZD7VbRrymY,Whats the vid name pls,0,2026-01-01T20:30:50Z,0
2ZD7VbRrymY,It’s sooooo funny 😂😂😂😂😂😂😂,0,2026-01-01T02:46:55Z,0
2ZD7VbRrymY,After I watched this I was laughing sooooo hard 😂😂😂😂 😂,0,2026-01-01T02:46:31Z,0
2ZD7VbRrymY,What the video namr,0,2025-12-31T21:13:22Z,0
2ZD7VbRrymY,He sounds like Harry Potter-😭,0,2025-12-31T15:29:29Z,0
2ZD7VbRrymY,"Imagine he said, imagine a girl😂😂😂",0,2025-12-31T15:16:34Z,0
2ZD7VbRrymY,Jayden the rapper.he gotta go.instead of a limo.its a bus,0,2025-12-31T14:23:55Z,0
2ZD7VbRrymY,Hardfortshite?!!!!! I go to school,0,2025-12-30T21:54:55Z,0
2ZD7VbRrymY,Wait why did she call herself big,0,2025-12-30T16:48:11Z,0
2ZD7VbRrymY,Ok these kid are right,0,2025-12-30T16:47:29Z,0
2ZD7VbRrymY,4 was  personal 😂,0,2025-12-30T15:18:38Z,0
2ZD7VbRrymY,-./.-/--../.. ../.../ -/..../. -..././.../-: 卍,0,2025-12-30T13:28:12Z,0
2ZD7VbRrymY,6. Oh my god,0,2025-12-30T08:27:41Z,0
2ZD7VbRrymY,"""What monstrosity is under that durag?"" why is that so diabolical.. 💀💀😭😃",1,2025-12-29T18:51:38Z,0
2ZD7VbRrymY,I would’ve said “im from your moms house”,0,2025-12-29T16:04:25Z,0
2ZD7VbRrymY,i am acctually from hertfordshire man what,0,2025-12-29T15:25:07Z,0
2ZD7VbRrymY,Channel name: 4.0,0,2025-12-29T13:16:59Z,0
2ZD7VbRrymY,5 felt like a compliment,0,2025-12-29T11:03:52Z,0
